roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,fold,n_test,variant,model,n
0.8899655469422911,0.9937269286417582,0.5401808120192583,0.9662921348314607,0.033707865168539325,0.8262273901808785,0.7635658914728682,0.8888888888888888,0.26898272229456,0.1253727632384458,0.40883828224448154,0,267,C1_strict,logistic,1331
0.8575443147427583,0.9917073677612428,0.6009435318830401,0.9661654135338346,0.03383458646616541,0.7604842196281885,0.7431906614785992,0.7777777777777778,0.21108586182092104,0.1325103525748137,0.4237990843674832,1,266,C1_strict,logistic,1331
0.9699524427150886,0.9982574926604724,0.718951418951419,0.9661654135338346,0.03383458646616541,0.8813229571984436,0.7626459143968871,1.0,0.313136511298461,0.13806439781601842,0.43668655388865857,2,266,C1_strict,logistic,1331
0.9182879377431907,0.9954447939020843,0.6066277914154667,0.9661654135338346,0.03383458646616541,0.8413316039775183,0.7937743190661478,0.8888888888888888,0.2935975759679132,0.12195651797438595,0.4024872645032615,3,266,C1_strict,logistic,1331
0.8882403804582794,0.9934446923213704,0.6146822272489318,0.9661654135338346,0.03383458646616541,0.8218763510592304,0.754863813229572,0.8888888888888888,0.2631239628451916,0.12666926256622418,0.4097781418661385,4,266,C1_strict,logistic,1331
0.9689922480620154,0.9981975038931681,0.7017094017094017,0.9662921348314607,0.033707865168539325,0.8662790697674418,0.7325581395348837,1.0,0.2907334503924548,0.14091709774102174,0.44828245207686046,5,267,C1_strict,logistic,1331
0.8893212278426287,0.9940305540931783,0.6098302796258597,0.9661654135338346,0.03383458646616541,0.7818849978383052,0.7859922178988327,0.7777777777777778,0.24108980547592565,0.12248407139922282,0.4002015247732854,6,266,C1_strict,logistic,1331
0.8236057068741893,0.9896774095529945,0.47197777017304765,0.9661654135338346,0.03383458646616541,0.7924773022049286,0.9182879377431906,0.6666666666666666,0.350210487672618,0.11773753389558365,0.3903461422234118,7,266,C1_strict,logistic,1331
0.9472546476437527,0.997054818612719,0.5512077294685991,0.9661654135338346,0.03383458646616541,0.8832684824902723,0.7665369649805448,1.0,0.3162010157933821,0.1278437322119641,0.4147383354957159,8,266,C1_strict,logistic,1331
0.9020752269779506,0.9942795268960645,0.6948921751033905,0.9661654135338346,0.03383458646616541,0.8179853004755728,0.7470817120622568,0.8888888888888888,0.25768240891168037,0.13493427449635925,0.4258567042062095,9,266,C1_strict,logistic,1331
0.8501291989664084,0.9940192205499275,0.13912609597809877,0.9662921348314607,0.033707865168539325,0.7842377260981912,0.7906976744186046,0.7777777777777778,0.2443679782815748,0.1553352955363368,0.5232528550429001,0,267,C2_age_excluded,logistic,1331
0.8741893644617381,0.994998404751443,0.20530828190013306,0.9661654135338346,0.03383458646616541,0.8199308257674016,0.7509727626459144,0.8888888888888888,0.26037949827833257,0.16642064232023693,0.5736726813490582,1,266,C2_age_excluded,logistic,1331
0.9485516645049719,0.9980526600327299,0.4075922007104803,0.9661654135338346,0.03383458646616541,0.8218763510592304,0.754863813229572,0.8888888888888888,0.2631239628451916,0.17565618243625358,0.552631159546789,2,266,C2_age_excluded,logistic,1331
0.7963683527885863,0.990701584580547,0.10964857762106799,0.9661654135338346,0.03383458646616541,0.7438391699092088,0.8210116731517509,0.6666666666666666,0.22233750342870806,0.1465964377483256,0.4767881049336193,3,266,C2_age_excluded,logistic,1331
0.7674016428880243,0.9889025141378832,0.1102397168318956,0.9661654135338346,0.03383458646616541,0.7457846952010376,0.8249027237354085,0.6666666666666666,0.22577109030039083,0.13787485065363178,0.5037326754235459,4,266,C2_age_excluded,logistic,1331
0.8893195521102498,0.9952935351970345,0.31044703174520616,0.9662921348314607,0.033707865168539325,0.853359173126615,0.8178294573643411,0.8888888888888888,0.315375678697143,0.14030993313444864,0.48490639244963457,5,267,C2_age_excluded,logistic,1331
0.6692607003891051,0.9837939828522548,0.05687995474062448,0.9661654135338346,0.03383458646616541,0.633808906182447,0.7120622568093385,0.5555555555555556,0.10589330026659098,0.2069910069988332,0.6061003202253394,6,266,C2_age_excluded,logistic,1331
