iteration,roc_auc
0,0.5179367547952307
1,0.6059616381544842
2,0.5216951788491446
3,0.45241921548297914
4,0.516675306721963
5,0.5672196302056333
6,0.5025747364783135
7,0.45878693623639194
8,0.48277172973907034
9,0.46269224123034386
