,,roc_auc,roc_auc,ap_pcos,ap_pcos,ap_control,ap_control,balanced_accuracy,balanced_accuracy,sensitivity,sensitivity,specificity,specificity,brier,brier
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
experiment,model,,,,,,,,,,,,,,
H1_harmonized_missingness_only,logistic,1.0,0.0,1.0,3.700743415417188e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00037092546469077797,0.0001580228476865005
H2_harmonized_values_only,logistic,0.9488333551178542,0.026948170444040468,0.997921731072933,0.0012349965492486775,0.6182773182218853,0.1704562532337613,0.8857891191345179,0.0438729994438522,0.91602268271348,0.018878239498639485,0.8555555555555555,0.09147473359428494,0.06565957861032189,0.01219220671290493
H3_harmonized_values_plus_missingness,logistic,1.0,0.0,1.0,5.233641528945917e-17,1.0000000000000002,1.4802973661668753e-16,1.0,0.0,1.0,0.0,1.0,0.0,4.949740460601542e-05,3.247515427494775e-05
M1_raw_missingness_only,logistic,1.0,0.0,1.0,9.791246743253677e-17,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.142221168420107e-06,2.603073099275395e-06
M2_raw_values_only,logistic,0.9992248062015504,0.002451378031138266,0.9999738698719624,8.263072015073746e-05,0.9662249478916145,0.10680609275337026,0.9996124031007753,0.0012256890155691392,0.9992248062015504,0.002451378031138266,1.0,0.0,0.0007493975392520549,0.0023687478513268662
M3_raw_values_plus_missingness,logistic,0.9992248062015504,0.002451378031138266,0.9999738207551804,8.278604105324897e-05,0.9662249478916145,0.10680609275337026,0.9996124031007753,0.0012256890155691392,0.9992248062015504,0.002451378031138266,1.0,0.0,0.0007490736022709033,0.0023687466070601137
M4_balanced_harmonized,logistic,0.9106834642080323,0.05417751484884458,0.9957204057369161,0.002957649368217872,0.5057085723783517,0.1734187754560433,0.866617148774872,0.064197748752178,0.8887898531052997,0.014087294394328967,0.8444444444444444,0.13042086564191857,0.09928640048146335,0.00830052619305439
M5_balanced_harmonized_no_age,logistic,0.8129418487349896,0.08493386876747018,0.9912333541287118,0.004916227304568065,0.16818068022457738,0.1100013989429048,0.74862782654159,0.07148424914656612,0.786144541972069,0.037622321110793056,0.711111111111111,0.14054567378526123,0.16001496694021985,0.021049070331516442
