roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,fold,n_test,experiment,model
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,6.939164359646322e-06,0.0010663646530511494,0,267,M1_raw_missingness_only,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.253578033745343e-06,0.0009186117097128211,1,266,M1_raw_missingness_only,logistic
1.0,0.9999999999999998,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,8.96586199593708e-06,0.0011776572787653102,2,266,M1_raw_missingness_only,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.1379891801063454e-05,0.0014150259518295619,3,266,M1_raw_missingness_only,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.6925202686399555e-06,0.0010048848709191256,4,266,M1_raw_missingness_only,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,1.1737116843520856e-05,0.0013592264895063131,5,267,M1_raw_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,5.432293098749185e-06,0.0009028725558355334,6,266,M1_raw_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,5.689782719529302e-06,0.0009248153036217744,7,266,M1_raw_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.1842694071800377e-05,0.0014711987236469984,8,266,M1_raw_missingness_only,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.489308491569194e-06,0.0009715187862860153,9,266,M1_raw_missingness_only,logistic
0.9922480620155039,0.9997386987196237,0.6622494789161455,0.9662921348314607,0.033707865168539325,0.9961240310077519,0.9922480620155039,1.0,0.9010212669339334,0.007490972096044126,0.27044334812087384,0,267,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.413355792786442e-07,0.0004419264067822743,1,266,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.1932009809436632e-07,0.0004327554073060216,2,266,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.723979002708616e-07,0.00048716008834200525,3,266,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.1795884581423707e-07,0.0004329509721231508,4,266,M2_raw_values_only,logistic
1.0,1.0,1.0000000000000002,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,2.502216198733282e-07,0.00045914829159607583,5,267,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,4.6753198789616315e-07,0.0004430531056252999,6,266,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.1888966281030532e-07,0.0004299448977508473,7,266,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.3132986932297927e-07,0.0004374889020502635,8,266,M2_raw_values_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,4.84310913061167e-07,0.0004658900985725277,9,266,M2_raw_values_only,logistic
0.9922480620155039,0.9997382075518035,0.6622494789161455,0.9662921348314607,0.033707865168539325,0.9961240310077519,0.9922480620155039,1.0,0.9010212669339334,0.007490644632559624,0.270038525939857,0,267,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,7.257299548897285e-09,4.513589107890335e-05,1,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.0645499695186802e-08,5.350757897471189e-05,2,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.347670108394836e-08,5.9900843592837396e-05,3,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,8.808651681488702e-09,4.917296893718687e-05,4,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0000000000000002,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,1.5547872273545297e-08,6.022359024562439e-05,5,267,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.292346996008454e-09,4.461855269405545e-05,6,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,7.277373218569768e-09,4.5115543857462724e-05,7,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.4406136208443816e-08,6.172798676092662e-05,8,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,7.678268702832985e-09,4.685027927648549e-05,9,266,M3_raw_values_plus_missingness,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,0.0002568941196605997,0.00644466464231739,0,267,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.00019686996957350836,0.005887635830213226,1,266,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.00042831648252168394,0.008011873603737868,2,266,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0003558229718269645,0.007143717493542271,3,266,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0005786195417810867,0.00896764358648926,4,266,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,0.0006689729569421202,0.009922568065092386,5,267,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0002595085109487967,0.0060535511894303715,6,266,H1_harmonized_missingness_only,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.00019306795941814392,0.005622335203781803,7,266,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0003584398293689526,0.007418462390954055,8,266,H1_harmonized_missingness_only,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0004127423048659227,0.007918047600179766,9,266,H1_harmonized_missingness_only,logistic
0.9560723514211886,0.9982999415378617,0.6278261942735626,0.9662921348314607,0.033707865168539325,0.8959948320413437,0.9031007751937985,0.8888888888888888,0.4342958934977939,0.06744895960336587,0.22797045336594027,0,267,H2_harmonized_values_only,logistic
0.9593601383484652,0.9985428585704634,0.4307100557778064,0.9661654135338346,0.03383458646616541,0.9016428880242109,0.914396887159533,0.8888888888888888,0.45913591341915133,0.06928705441315643,0.27513818506403936,1,266,H2_harmonized_values_only,logistic
0.9909208819714657,0.9996786876308995,0.837830687830688,0.9661654135338346,0.03383458646616541,0.943579766536965,0.8871595330739299,1.0,0.4583849163285259,0.088254790947867,0.3074744505920491,2,266,H2_harmonized_values_only,logistic
0.9446606139213143,0.9977219038223042,0.6250057122864141,0.9661654135338346,0.03383458646616541,0.9152615650670125,0.9416342412451362,0.8888888888888888,0.534284399755797,0.04737420639369666,0.16339784690443393,3,266,H2_harmonized_values_only,logistic
0.9329874621703416,0.9974223555287969,0.5005268088601422,0.9661654135338346,0.03383458646616541,0.8499783830523131,0.9221789883268483,0.7777777777777778,0.4190619213170499,0.0645890799472379,0.2635610760012159,4,266,H2_harmonized_values_only,logistic
0.9866494401378123,0.9995288349805285,0.7948107448107449,0.9662921348314607,0.033707865168539325,0.9593023255813953,0.9186046511627907,1.0,0.5249584701181963,0.061315754838228695,0.22086515248108965,5,267,H2_harmonized_values_only,logistic
0.9152615650670125,0.9960268069504424,0.6409235756846805,0.9661654135338346,0.03383458646616541,0.8538694336359707,0.9299610894941635,0.7777777777777778,0.43851286325548733,0.05989076787105896,0.24919823166141172,6,266,H2_harmonized_values_only,logistic
0.9269347168179853,0.997196897188884,0.28577577611263166,0.9661654135338346,0.03383458646616541,0.8441418071768266,0.9105058365758755,0.7777777777777778,0.3934038612288961,0.07247631768574607,0.3472379876735039,7,266,H2_harmonized_values_only,logistic
0.9148292261132728,0.9962642649257623,0.6940762362637363,0.9661654135338346,0.03383458646616541,0.859706009511457,0.9416342412451362,0.7777777777777778,0.4722361743942398,0.049517222449116535,0.1712406591482065,8,266,H2_harmonized_values_only,logistic
0.9606571552096844,0.9985347595933877,0.7452873903184463,0.9661654135338346,0.03383458646616541,0.8344141807176827,0.8910505836575876,0.7777777777777778,0.357735867006712,0.07644163195374476,0.2505667572582264,9,266,H2_harmonized_values_only,logistic
1.0,1.0,1.0000000000000002,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,8.475374637777342e-05,0.0014290969172013079,0,267,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0000000000000002,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,3.619592810399937e-05,0.0010709577517033927,1,266,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0000000000000002,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.878007380683895e-05,0.0012265954458659449,2,266,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.1272023913732572e-05,0.0010543316567387826,3,266,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0000000000000002,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,3.234367144304478e-05,0.001320460243222549,4,266,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,8.588760938464874e-05,0.0018243029726114717,5,267,H3_harmonized_values_plus_missingness,logistic
1.0,0.9999999999999999,1.0000000000000002,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,9.163621469140772e-05,0.0015283497030543329,6,266,H3_harmonized_values_plus_missingness,logistic
1.0,0.9999999999999999,1.0000000000000002,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.661050933654614e-05,0.0010888141031622145,7,266,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.4330195269711201e-05,0.000855434565529779,8,266,H3_harmonized_values_plus_missingness,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,8.316407373245136e-05,0.0016868462357063703,9,266,H3_harmonized_values_plus_missingness,logistic
0.8970714900947458,0.9957589841606964,0.393721585335138,0.9662921348314607,0.033707865168539325,0.729328165374677,0.9031007751937985,0.5555555555555556,0.26211006595212333,0.08843682688903368,0.318934021088587,0,267,M4_balanced_harmonized,logistic
0.9105058365758756,0.9951595977784617,0.4764761852193546,0.9661654135338346,0.03383458646616541,0.891915261565067,0.8949416342412452,0.8888888888888888,0.4192470115599023,0.10244716967266065,0.38487372434334743,1,266,M4_balanced_harmonized,logistic
0.9900562040639862,0.9996540688463739,0.762820512820513,0.9661654135338346,0.03383458646616541,0.9357976653696498,0.8715953307392996,1.0,0.4321694436393718,0.11105079692153466,0.376312925942455,2,266,M4_balanced_harmonized,logistic
0.93558149589278,0.9972596528547946,0.4728409634632993,0.9661654135338346,0.03383458646616541,0.8880242109814094,0.8871595330739299,0.8888888888888888,0.4054693523061112,0.09002292470727352,0.31511054504303987,3,266,M4_balanced_harmonized,logistic
