experiment,model,roc_auc,balanced_accuracy,specificity,sensitivity,brier,ap_pcos,ap_control
H1_harmonized_missingness_only,logistic,1.0,1.0,1.0,1.0,0.00037092546469072,1.0,1.0
H2_harmonized_values_only,logistic,0.9488333551178542,0.8857891191345176,0.8555555555555555,0.91602268271348,0.06565957861032184,0.997921731072933,0.6182773182218853
H3_harmonized_values_plus_missingness,logistic,1.0,1.0,1.0,1.0,4.949740460601542e-05,1.0,1.0000000000000002
M1_raw_missingness_only,logistic,1.0,1.0,1.0,1.0,8.142221168420107e-06,1.0,1.0
M2_raw_values_only,logistic,0.9992248062015504,0.9996124031007753,1.0,0.9992248062015504,0.0007493975392520523,0.9999738698719624,0.9662249478916145
M3_raw_values_plus_missingness,logistic,0.9992248062015504,0.9996124031007753,1.0,0.9992248062015504,0.0007490736022709009,0.9999738207551804,0.9662249478916145
M4_balanced_harmonized,logistic,0.9106834642080323,0.866617148774872,0.8444444444444444,0.8887898531052997,0.09928640048146331,0.9957204057369161,0.5057085723783517
M5_balanced_harmonized_no_age,logistic,0.8129418487349896,0.74862782654159,0.711111111111111,0.786144541972069,0.16001496694021983,0.9912333541287118,0.1681806802245773
